,vehicles,avg_price,lot_number,date_of_sale,year,vin,condition,engine,mileage,documents,location,primary_damage,secondary_damage,estimated_retail_value,estimated_repair_cost,transmission,body_color,drive,fuel,keys,notes,seller,price,market
23,164,$4953,69344172,24.01.2023,2017,3VW4T7AU6HM027437,Enhanced Vehicles,2 L 4,0 miles (Not Actual),Oh - Cert Of Title-Salvage,Oh - Columbus,Front End,Not specified,20245,15480,Automatic,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,3850, Copart 
24,68,$6597,68891292,24.01.2023,2018,3VW547AU3JM297295,Enhanced Vehicles,2 L 4,46754 miles (Actual),Md - Cert Of Salvage > 75% Damage (P),Md - Baltimore East,Rear End,Minor Dent/Scratches,23544,23544,Manual,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,2950, Copart 
25,164,$4953,65749292,23.01.2023,2017,3VW4T7AU1HM014448,Not specified,2 L 4,58508 miles (Actual),Or - Salvage Title Certificate,Or - Portland South,Front End,Not specified,23216,27801,Automatic,Blue,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,1950, Copart 
26,164,$4953,71268212,23.01.2023,2017,3VW447AU0HM047485,Run And Drive,2 L 4,52908 miles (Actual),Hi - Certificate Of Title,Hi - Honolulu,Front End,Not specified,20601,21178,Automatic,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,8100, Copart 
27,51,$7098,71034022,23.01.2023,2019,3VW6T7AU3KM004973,Enhanced Vehicles,2.0L 4,42356 miles (Actual),Tx - Salvage Vehicle Title (P),Tx - Dallas,Rear End,Front End,25922,25922,Automatic,Charcoal,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,4550, Copart 
28,68,$6597,70403782,20.01.2023,2018,3VW447AU3JM288172,Engine Start Program,2 L 4,39644 miles (Actual),Mo - Salvage Certificate Of Title,Mo - St. Louis,Front End,Rear End,24905,22267,Manual,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,5200, Copart 
29,68,$6597,68386882,20.01.2023,2018,3VW547AU0JM288571,Enhanced Vehicles,2 L 4,60703 miles (Actual),Ga - Cert Of Title-Salvage,Ga - Atlanta West,Front End,Not specified,25125,14610,Manual,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,4750, Copart 
30,164,$4953,65830122,20.01.2023,2017,3VW4T7AU7HM040035,Run And Drive,2 L 4,34020 miles (Actual),Ca - Salvage Certificate,Ca - Vallejo,Front End,Not specified,24073,16828,Automatic,Gray,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,6800, Copart 
31,68,$6597,70252262,19.01.2023,2018,3VW447AU4JM294451,Run And Drive,2 L 4,45076 miles (Actual),Tx - Salvage Vehicle Title,Tx - Dallas,Front End,Not specified,0,0,Automatic,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,6500, Copart 
32,164,$4953,69176472,19.01.2023,2017,3VW447AU0HM018813,Enhanced Vehicles,2 L 4,34807 miles (Actual),Nv - Salvage Title,Nv - Las Vegas,All Over,Not specified,25112,22811,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,3500, Copart 
33,68,$6597,68258732,19.01.2023,2018,3VW447AU6JM262858,Run And Drive,2 L 4,41397 miles (Not Actual),Ca - Salvage Certificate,Ca - San Jose,Front End,Not specified,23626,23626,Automatic,Charcoal,Front-Wheel Drive,Gas,Yes,Veh Loc @ San Martin Sublot, Not specified,6500, Copart 
34,51,$7098,70056352,17.01.2023,2019,3VW6T7AU7KM007245,Run And Drive,2.0L 4,52037 miles (Actual),Tx - Salvage Vehicle Title (P),Tx - Amarillo,Mechanical,Minor Dent/Scratches,26630,21444,Automatic,Gray,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,7200, Copart 
35,68,$6597,68913362,18.01.2023,2018,3VW547AU2JM289480,Engine Start Program,2 L 4,35659 miles (Actual),Ma - Cert Of Title-Salvage,Ma - North Boston,Front End,Mechanical,25008,17263,Manual,Red,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,3800, Copart 
36,51,$7098,53334462,18.01.2023,2019,3VW6T7AUXKM019552,Run And Drive,2.0L 4,27034 miles (Actual),Ny - Mv-907A Salvage Certificate,Ny - Syracuse,Rear End,Not specified,28247,0,Automatic,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,10300, Copart 
37,164,$4953,71691642,17.01.2023,2017,3VW547AUXHM002025,Run And Drive,2 L 4,36928 miles (Actual),Tn - Salvage Certificate,Tn - Knoxville,Front End,Not specified,24935,25151,Manual,Charcoal,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,4450, Copart 
38,164,$4953,68947412,17.01.2023,2017,3VW5T7AU6HM017754,Run And Drive,2 L 4,51762 miles (Actual),Il - Salvage Certificate,Il - Chicago North,Minor Dent/Scratches,Not specified,20979,17967,Manual,Gray,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,6900, Copart 
39,164,$4953,63962262,17.01.2023,2017,3VW447AU8HM027100,Run And Drive,2 L 4,101433 miles (Actual),Nh - Cert Of Title-Salvage,Nh - Candia,Front End,Rear End,21309,18942,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,3250, Copart 
40,51,$7098,68573222,16.01.2023,2019,3VW5T7AU8KM007038,Enhanced Vehicles,2.0L 4,15634 miles (Not Actual),Fl - Cert Of Title Slvg Rebuildable,Fl - Ft. Pierce,Front End,Not specified,28969,21722,Automatic,Red,Front-Wheel Drive,Gas,No,Not specified, Not specified,7000, Copart 
41,164,$4953,36249043,16.01.2023,2017,3VW447AU8HM074949,Run And Drive,2 L 4,74365 miles (Actual),Ny - Mv-907A Salvage Certificate,Ny - Albany,Front End,Not specified,18666,21854,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,3900, Copart 
42,68,$6597,73325272,12.01.2023,2018,3VW547AU2JM260299,Run And Drive,2 L 4,42599 miles (Actual),Ct - Cert Of Title-Salvage,Fl - West Palm Beach,Rear End,Minor Dent/Scratches,0,0,Manual,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,8600, Copart 
43,164,$4953,70971172,12.01.2023,2017,3VW547AU1HM020848,Enhanced Vehicles,2 L 4,0 miles (Not Actual),Ca - Cert Of Title Or Salvage Acq,Ca - Rancho Cucamonga,Front End,Undercarriage,8500,0,Manual,Black,Front-Wheel Drive,Gas,Exempt,Not specified, Not specified,1600, Copart 
44,164,$4953,64856172,13.01.2023,2017,3VW5T7AU1HM063914,Run And Drive,2 L 4,69880 miles (Not Actual),Fl - Cert Of Title Slvg Rebuildable,Fl - Tampa South,Rear End,Not specified,18018,13905,Manual,Red,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,4800, Copart 
45,164,$4953,70126902,12.01.2023,2017,3VW4T7AU6HM005924,Run And Drive,2 L 4,69623 miles (Actual),Fl - Cert Of Title Slvg Rebuildable,Fl - Orlando South,Front End,Not specified,20485,17053,Automatic,Blue,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,7400, Copart 
46,164,$4953,68987192,11.01.2023,2017,3VW5T7AU3HM066197,Run And Drive,2 L 4,43927 miles (Actual),Ca - Salvage Certificate,Ca - Sun Valley,Rear End,Front End,21392,17352,Manual,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,5500, Copart 
47,51,$7098,68955962,12.01.2023,2019,3VW5T7AUXKM004299,Run And Drive,2.0L 4,53894 miles (Actual),Co - Salvage Title,Co - Denver,Front End,Not specified,26016,18654,Manual,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,5300, Copart 
48,164,$4953,70525862,10.01.2023,2017,3VW547AU0HM063853,Enhanced Vehicles,2 L 4,0 miles (Not Actual),Co - Public - Salvage Title (P),Co - Denver,Front End,Not specified,19597,16362,Manual,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,3550, Copart 
49,51,$7098,69551202,11.01.2023,2019,3VW5T7AUXKM004612,Engine Start Program,2.0L 4,35208 miles (Actual),Va - Cert Of Title - Salvage,Va - Fredericksburg,Front End,Undercarriage,27234,26278,Manual,Charcoal,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,7900, Copart 
50,164,$4953,67274112,11.01.2023,2017,3VW4T7AU1HM019245,Engine Start Program,2 L 4,47223 miles (Actual),Fl - Certificate Of Destruction,Fl - Ft. Pierce,Front End,Not specified,20116,20625,Automatic,Gray,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,4200, Copart 
51,164,$4953,73093192,10.01.2023,2017,3VW447AU8HM057858,Run And Drive,2 L 4,22503 miles (Actual),Ca - Salvage Certificate,Ca - San Diego,Side,Minor Dent/Scratches,24260,0,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,6800, Copart 
52,36,$7442,72543652,10.01.2023,2020,3VW5T7AU8LM003802,Run And Drive,2.0L 4,18609 miles (Actual),Ca - Salvage Certificate,Ca - San Jose,Side,Front End,31331,28940,Manual,White,Front-Wheel Drive,Gas,Yes,Veh Loc @ San Martin Sublot, Not specified,6100, Copart 
53,164,$4953,68706292,10.01.2023,2017,3VW4T7AU8HM040724,Run And Drive,2 L 4,127673 miles (Actual),Co - Public - Salvage Title,Co - Denver,Side,Not specified,14742,11797,Automatic,Charcoal,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,5500, Copart 
54,68,$6597,68490532,10.01.2023,2018,3VW547AU1JM287770,Enhanced Vehicles,2 L 4,0 miles (Not Actual),Md - Cert Of Salvage > 75% Damage,Dc - Washington Dc,Front End,Rear End,19760,17133,Manual,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,3250, Copart 
55,164,$4953,65916142,10.01.2023,2017,3VW447AU9HM075107,Enhanced Vehicles,2 L 4,54213 miles (Actual),In - Cert Of Title-Salvage Title,In - Indianapolis,Front End,Mechanical,22354,20373,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,2150, Copart 
56,164,$4953,72190312,06.01.2023,2017,3VW547AU4HM034498,Run And Drive,2 L 4,35732 miles (Actual),Pa - Certificate Of Salvage,Pa - Philadelphia,Front End,Normal Wear,25371,0,Automatic,Silver,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,7900, Copart 
57,51,$7098,66698812,09.01.2023,2019,3VW5T7AU5KM014514,Enhanced Vehicles,2.0L 4,47105 miles (Actual),Md - Cert Of Salvage > 75% Damage,Md - Baltimore,Front End,Side,28400,23446,Manual,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,2750, Copart 
58,164,$4953,67822392,04.01.2023,2017,3VW5T7AUXHM008443,Run And Drive,2 L 4,103182 miles (Actual),Co - Public - Salvage Title (P),Co - Colorado Springs,Front End,Not specified,16613,12187,Manual,Charcoal,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,4800, Copart 
59,164,$4953,68989282,04.01.2023,2017,3VW5T7AU4HM006204,Enhanced Vehicles,2 L 4,101792 miles (Actual),Ga - Cert Of Title-Salvage,Ga - Atlanta East,Front End,Minor Dent/Scratches,16325,13764,Manual,Red,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,3150, Copart 
60,51,$7098,67258052,03.01.2023,2019,3VW6T7AUXKM019387,Run And Drive,2.0L 4,23412 miles (Actual),Ca - Salvage Certificate,Ca - San Jose,Front End,Minor Dent/Scratches,30443,0,Automatic,Teal,Front-Wheel Drive,Gas,Yes,Veh Loc @ San Martin Sublot, Not specified,8300, Copart 
61,164,$4953,70901132,03.01.2023,2017,3VW547AU7HM010857,Run And Drive,2 L 4,116645 miles (Actual),Co - Public - Salvage Title,Co - Denver,Front End,Rear End,16006,12845,Automatic,Gray,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,3800, Copart 
62,164,$4953,62887432,03.01.2023,2017,3VW547AU8HM034293,Run And Drive,2 L 4,73659 miles (Actual),Tx - Salvage Vehicle Title (P),Tx - Dallas,Front End,Rear End,20522,12072,Manual,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,4850, Copart 
63,164,$4953,61039742,30.12.2022,2017,3VW547AU6HM073559,Run And Drive,2 L 4,60655 miles (Actual),Tx - Salvage Vehicle Title,Tx - El Paso,Front End,Side,23451,23451,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,4050, Copart 
64,164,$4953,57877912,30.12.2022,2017,3VW547AU9HM022380,Run And Drive,2 L 4,61786 miles (Actual),Co - Public - Salvage Title,Co - Denver South,Side,Rear End,21052,21052,Automatic,Charcoal,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,5250, Copart 
65,36,$7442,67378522,29.12.2022,2020,3VW5T7AU1LM003527,Enhanced Vehicles,2.0L 4,0 miles (Not Actual),Ny - Mv-907A Salvage Certificate,Ny - Newburgh,Mechanical,Not specified,28505,28505,Manual,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,12700, Copart 
66,164,$4953,62647452,29.12.2022,2017,3VW4T7AU2HM072312,Run And Drive,2 L 4,50110 miles (Actual),Il - Salvage Certificate,Il - Chicago North,Front End,Side,19717,0,Automatic,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,5800, Copart 
67,164,$4953,67376002,28.12.2022,2017,3VW447AU4HM062829,Enhanced Vehicles,2 L 4,98101 mile (Actual),Va - Cert Of Title - Salvage,Va - Fredericksburg,Front End,Not specified,19682,15117,Automatic,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,4850, Copart 
68,164,$4953,68901702,27.12.2022,2017,3VW447AUXHM054878,Enhanced Vehicles,2 L 4,0 miles (Not Actual),Mi - Scrap Certificate Of Title,Mi - Detroit,Front End,Undercarriage,20593,20224,Automatic,Silver,Front-Wheel Drive,Gas,Exempt,Not specified, Not specified,2650, Copart 
69,36,$7442,68196542,23.12.2022,2020,3VW6T7AU4LM005423,Enhanced Vehicles,2.0L 4,0 miles (Not Actual),Md - Cert Of Salvage > 75% Damage,Md - Baltimore,Side,Front End,28809,25821,Automatic,Black,Front-Wheel Drive,Gas,No,Not specified, Not specified,2700, Copart 
70,164,$4953,65905022,27.12.2022,2017,3VW4T7AU2HM077199,Run And Drive,2 L 4,40733 miles (Actual),Tx - Salvage Vehicle Title,Tx - Dallas,Side,Not specified,24144,20429,Automatic,Red,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,6800, Copart 
71,164,$4953,65559962,27.12.2022,2017,3VW4T7AU0HM067819,Engine Start Program,2 L 4,76915 miles (Actual),Tx - Salvage Vehicle Title,Tx - Houston,Front End,Side,21754,21754,Automatic,Red,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,1650, Copart 
72,164,$4953,47430382,27.12.2022,2017,3VW447AU8HM070495,Run And Drive,2 L 4,39106 miles (Actual),Or - Lien Papers Salvage,Or - Eugene,Front End,Minor Dent/Scratches,29815,23645,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,2950, Copart 
73,36,$7442,69490092,24.12.2022,2020,3VW6T7AUXLM001182,Run And Drive,2.0L 4,25115 miles (Actual),Mi - Cert Of Title-Salvage Vehicle,Mi - Ionia,Rear End,Not specified,28756,24240,Automatic,Red,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,3350, Copart 
74,164,$4953,66396402,23.12.2022,2017,3VW4T7AU1HM018435,Run And Drive,2 L 4,20736 miles (Actual),Tx - Salvage Vehicle Title,Tx - El Paso,Rear End,Side,0,0,Automatic,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,4600, Copart 
75,68,$6597,61182082,23.12.2022,2018,3VW447AU8JM289558,Engine Start Program,2 L 4,102948 miles (Actual),Ca - Salvage Certificate,Ca - San Diego,Front End,Rear End,19727,20473,Automatic,Gray,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,2500, Copart 
76,164,$4953,49081801,22.12.2022,2017,3VW4T7AU9HM067964,Run And Drive,2 L 4,62026 miles (Actual),Ga - Cert Of Title-Salvage,Ga - Atlanta North,Front End,Not specified,21091,0,Automatic,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,10300, Copart 
77,164,$4953,68666452,21.12.2022,2017,3VW447AU2HM033006,Enhanced Vehicles,2 L 4,31919 miles (Actual),Ga - Cert Of Title-Salvage,Ga - Atlanta East,Rear End,Not specified,22651,0,Automatic,Charcoal,Front-Wheel Drive,Gas,No,Not specified, Not specified,5100, Copart 
78,164,$4953,63318022,21.12.2022,2017,3VW4T7AU4HM003489,Run And Drive,2 L 4,96166 miles (Actual),Nc - Salvage Certificate Of Title,Nc - Gastonia,Front End,Side,16220,12104,Automatic,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,6300, Copart 
79,164,$4953,60564752,21.12.2022,2017,3VW447AU2HM057483,Not specified,2 L 4,41695 miles (Actual),Il - Salvage Certificate,Il - Chicago South,Side,Front End,28159,0,Automatic,White,Front-Wheel Drive,Gas,Exempt,Not specified, Not specified,6300, Copart 
80,164,$4953,65934512,20.12.2022,2017,3VW547AU9HM022606,Run And Drive,2 L 4,103373 miles (Actual),Tx - Salvage Vehicle Title,Tx - Ft. Worth,Mechanical,Not specified,19513,16648,Manual,Gray,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,4550, Copart 
81,51,$7098,61243712,20.12.2022,2019,3VW6T7AU3KM036810,Engine Start Program,2.0L 4,28614 miles (Not Actual),Nv - Salvage Title,Nv - Las Vegas,Front End,Minor Dent/Scratches,33823,24039,Automatic,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,8900, Copart 
82,36,$7442,60882052,20.12.2022,2020,3VW5T7AU0LM016589,Run And Drive,2.0L 4,11906 miles (Actual),Nh - Cert Of Title-Salvage,Nh - Candia,Front End,Side,33004,22237,Manual,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,12900, Copart 
83,51,$7098,64556162,19.12.2022,2019,3VW6T7AU2KM036281,Run And Drive,2.0L 4,74896 miles (Actual),Ca - Salvage Certificate,Ca - So Sacramento,Unknown,Minor Dent/Scratches,31986,0,Automatic,Unknown - Not Ok For Inv.,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,8400, Copart 
84,68,$6597,66527632,14.12.2022,2018,3VW447AU7JM293343,Enhanced Vehicles,2 L 4,48560 miles (Actual),Fl - Certificate Of Destruction,Fl - Miami Central,Burn - Engine,Not specified,22513,26298,Automatic,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,7000, Copart 
85,68,$6597,66007732,15.12.2022,2018,3VW447AU1JM291362,Run And Drive,2 L 4,37911 miles (Actual),Tx - Salvage Vehicle Title (P),Tx - Dallas South,Front End,Minor Dent/Scratches,26839,0,Automatic,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,11800, Copart 
86,51,$7098,63979882,15.12.2022,2019,3VW5T7AU6KM007149,Run And Drive,2.0L 4,44363 miles (Actual),Fl - Certificate Of Destruction,Fl - Punta Gorda South,Water/Flood,Biohazard/Chemical,29100,29100,Manual,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,8700, Copart 
87,164,$4953,61127482,15.12.2022,2017,3VW5T7AU1HM075156,Enhanced Vehicles,2 L 4,60541 mile (Actual),Ky - Cert Of Title-Salvage,Ky - Louisville,Mechanical,Not specified,20909,17070,Automatic,Red,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,4000, Copart 
88,51,$7098,61016632,14.12.2022,2019,3VW5T7AU5KM037534,Enhanced Vehicles,2.0L 4,17135 miles (Actual),Mo - Salvage Certificate Of Title,Mo - Springfield,Front End,Minor Dent/Scratches,31532,22149,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,6200, Copart 
89,164,$4953,59891002,14.12.2022,2017,3VW447AU1HM059726,Run And Drive,2 L 4,29105 miles (Actual),Or - Salvage Title Certificate,Or - Portland North,Front End,Not specified,21499,21375,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,5700, Copart 
90,164,$4953,59224552,14.12.2022,2017,3VW447AUXHM074600,Engine Start Program,2 L 4,91600 miles (Actual),Or - Salvage Title Certificate,Or - Portland North,Front End,Not specified,22677,20952,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,2450, Copart 
91,164,$4953,68174162,13.12.2022,2017,3VW547AU8HM069187,Enhanced Vehicles,2 L 4,0 miles (Not Actual),Ca - Salvage Certificate,Ca - San Jose,Front End,Not specified,24059,0,Manual,Black,Front-Wheel Drive,Gas,No,Veh Loc @ San Martin Sublot, Not specified,875, Copart 
92,164,$4953,65905022,12.12.2022,2017,3VW4T7AU2HM077199,Run And Drive,2 L 4,40733 miles (Actual),Tx - Salvage Vehicle Title (P),Tx - Dallas,Side,Not specified,24144,20429,Automatic,Red,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,6700, Copart 
